,features,rank
53,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.738095238095238,0.6341463414634146,0.22424242424242424,0.84375,0.576923076923077])",72
54,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.738095238095238,0.6829268292682927,0.1717171717171717,0.734375,0.75])",63
55,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7738095238095237,0.7439024390243902,0.19595959595959597,0.1875,0.13461538461538464])",67
56,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7857142857142857,0.6341463414634146,0.3878787878787879,0.203125,0.19230769230769232])",107
57,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.7952380952380952,0.7219512195121952,0.1595959595959596,0.515625,0.576923076923077])",47
58,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8015880952380952,0.8617878048780488,0.13602686868686867,0.3125,0.21153846153846156])",69
59,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8095238095238095,0.7073170731707318,0.3151515151515151,0.296875,0.13461538461538464])",111
60,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8166666666666665,0.876829268292683,0.06262626262626263,1.0,1.0])",34
61,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8186809523809523,0.7589121951219513,0.2546232323232323,0.734375,0.7692307692307693])",26
62,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8214285714285714,0.7439024390243902,0.2797979797979798,0.203125,0.13461538461538464])",112
63,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8571428571428571,0.7317073170731707,0.08686868686868687,0.609375,0.15384615384615385])",76
64,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8571428571428571,0.7804878048780488,0.2727272727272727,0.25,0.13461538461538464])",78
65,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8606690476190476,0.7642268292682928,0.2665169696969697,0.734375,0.5])",25
66,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8809523809523809,0.7682926829268293,0.23535353535353534,0.15625,0.13461538461538464])",113
67,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.8809523809523809,0.8536585365853658,0.3434343434343434,0.21875,0.019230769230769232])",115
68,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.9047619047619047,0.8292682926829269,0.18922565656565657,0.234375,0.21153846153846156])",75
69,"(26,[0,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.12979598816972818,0.9142857142857141,0.8585365853658538,0.1393939393939394,0.640625,0.25])",62
70,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.12698333333333334,0.4308951219512195,0.14343434343434344,0.375,0.2692307692307693,0.02])",45
71,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.2738095238095238,0.4878048780487805,0.32565656565656564,0.125,0.13461538461538464,0.024])",28
72,"(26,[0,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.12979598816972818,0.5238095238095237,0.5934951219512196,0.39595959595959596,0.65625,0.6153846153846154,0.04])",51
