,features,rank
745,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6587309523809524,0.6260170731707317,0.130639797979798,0.546875,0.09615384615384616])",61
746,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6666666666666666,0.5853658536585367,0.298989898989899,0.140625,0.057692307692307696])",84
747,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6666666666666666,0.7073170731707318,0.03434343434343434,0.34375,0.11538461538461539])",112
748,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6666666666666666,0.7317073170731707,0.024242424242424242,0.453125,0.3076923076923077])",113
749,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6714285714285714,0.4878048780487805,0.24606060606060606,0.28125,0.07692307692307693])",39
750,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6726190476190476,0.6890243902439025,0.008585858585858586,0.4375,0.15384615384615385])",100
751,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6768714285714286,0.6167243902439025,0.1864357575757576,0.734375,0.40384615384615385])",104
752,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6845238095238095,0.6402439024390244,0.048484848484848485,0.484375,0.15384615384615385])",47
753,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6904761904761905,0.3902439024390244,0.30303030303030304,0.640625,0.057692307692307696])",76
754,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6928571428571428,0.675609756097561,0.03575757575757576,0.609375,0.09615384615384616])",35
755,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7023809523809523,0.7195121951219512,0.015151515151515152,0.1875,0.19230769230769232])",111
756,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7063499999999999,0.6666658536585366,0.22828282828282828,0.421875,0.057692307692307696])",68
757,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7142857142857142,0.6585365853658537,0.39191919191919194,0.3125,0.07692307692307693])",85
758,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7142857142857142,0.7073170731707318,0.07474747474747474,0.078125,0.057692307692307696])",92
759,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7142857142857142,0.7073170731707318,0.28484848484848485,0.09375,0.057692307692307696])",94
760,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7261904761904762,0.6097560975609756,0.20303030303030303,0.28125,0.07692307692307693])",68
761,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.738095238095238,0.5365853658536586,0.25656565656565655,0.3125,0.21153846153846156])",80
762,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.738095238095238,0.6585365853658537,0.48484848484848486,0.453125,0.3269230769230769])",89
763,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.738095238095238,0.7317073170731707,0.024242424242424242,0.28125,0.057692307692307696])",95
764,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.738095238095238,0.7317073170731707,0.03636363636363636,0.609375,0.09615384615384616])",79
765,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7619047619047619,0.7073170731707318,0.3696969696969697,0.265625,0.15384615384615385])",74
766,"(26,[1,2,3,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.7801119047619046,0.7245341463414634,0.1904931313131313,0.828125,0.6346153846153847])",36
767,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.3333333333333333,0.38414634146341464,0.28484848484848485,0.09375,0.038461538461538464,0.013333333333333332])",39
768,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.369047619047619,0.4268292682926829,0.26565656565656565,0.109375,0.07692307692307693,0.02])",49
769,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.37142857142857144,0.5951219512195122,0.16727272727272727,0.125,0.13461538461538464,0.16])",99
770,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.38888809523809525,0.5284560975609756,0.17239050505050504,0.203125,0.13461538461538464,0.08])",48
771,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.3979595238095238,0.4843195121951219,0.2129870707070707,0.203125,0.19230769230769232,0.05333333333333333])",96
772,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.4107142857142857,0.4878048780487805,0.2803030303030303,0.0625,0.038461538461538464,0.04])",43
773,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.41666666666666663,0.41463414634146345,0.19974747474747476,0.234375,0.15384615384615385,0.024])",30
774,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.4206357142857142,0.4471536585365854,0.32053878787878787,0.078125,0.11538461538461539,0.02])",40
775,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.42857142857142855,0.5447146341463415,0.16363636363636364,0.203125,0.13461538461538464,0.08])",44
776,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.44047619047619047,0.4573170731707317,0.24343434343434345,0.328125,0.23076923076923078,0.06])",40
777,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.45238095238095233,0.3902439024390244,0.18787878787878787,0.09375,0.057692307692307696,0.02])",45
778,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.45238095238095233,0.48238536585365854,0.26756444444444444,0.4375,0.07692307692307693,0.024])",27
779,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.46428571428571425,0.29268292682926833,0.23282828282828283,0.390625,0.3269230769230769,0.013333333333333332])",35
780,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.4783547619047619,0.45121951219512196,0.2674012121212121,0.21875,0.019230769230769232,0.01])",16
781,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.494047619047619,0.4207317073170732,0.30757575757575756,0.109375,0.038461538461538464,0.013333333333333332])",38
782,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.494047619047619,0.5853658536585367,0.18888888888888888,0.203125,0.13461538461538464,0.12])",52
783,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5,0.4905146341463415,0.25701454545454544,0.125,0.038461538461538464,0.02])",26
784,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5158738095238095,0.5365853658536586,0.17575757575757575,0.109375,0.057692307692307696,0.08])",54
785,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5317452380952381,0.5406512195121951,0.1784511111111111,0.140625,0.11538461538461539,0.06])",42
786,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5317452380952381,0.5772365853658536,0.2956228282828283,0.140625,0.07692307692307693,0.08])",56
787,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5476190476190476,0.5589439024390244,0.21700343434343436,0.4375,0.07692307692307693,0.013333333333333332])",29
788,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5488095238095237,0.4926829268292683,0.23252525252525252,0.21875,0.019230769230769232,0.051428571428571435])",17
789,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.557142857142857,0.5463414634146341,0.15757575757575756,0.453125,0.3269230769230769,0.16])",36
790,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5578238095238095,0.5052268292682928,0.2724385858585859,0.203125,0.13461538461538464,0.04])",34
791,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5659333333333333,0.45966341463414634,0.2672882828282829,0.234375,0.13461538461538464,0.008888888888888889])",24
792,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5684523809523809,0.4969512195121951,0.19393939393939394,0.453125,0.3076923076923077,0.03])",86
793,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5735928571428571,0.6031048780487805,0.07676767676767676,0.140625,0.15384615384615385,0.36])",32
794,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5857142857142857,0.6341463414634146,0.09575757575757575,0.296875,0.3269230769230769,0.16])",72
795,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5892857142857143,0.5060975609756098,0.2828282828282828,0.15625,0.07692307692307693,0.013333333333333332])",90
796,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5918357142857142,0.5505219512195122,0.2014430303030303,0.125,0.057692307692307696,0.06])",37
797,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.5952380952380952,0.4878048780487805,0.2383838383838384,0.140625,0.09615384615384616,0.04])",43
798,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6007333333333332,0.6135073170731707,0.15369070707070706,0.140625,0.09615384615384616,0.2])",31
799,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6297619047619047,0.5378048780487805,0.19262626262626262,0.828125,0.6346153846153847,0.08])",19
800,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6377547619047619,0.5174219512195123,0.24098121212121212,0.109375,0.038461538461538464,0.022857142857142857])",24
801,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6428571428571428,0.5257463414634146,0.2017957575757576,0.546875,0.09615384615384616,0.04])",33
802,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6666666666666666,0.5609756097560976,0.1583838383838384,0.734375,0.40384615384615385,0.04])",91
803,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6785714285714285,0.5609756097560976,0.201010101010101,0.390625,0.19230769230769232,0.04])",67
804,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.6887761904761904,0.5801390243902439,0.20158727272727273,0.828125,0.6346153846153847,0.12])",25
805,"(26,[1,2,3,18,19,20,21,23,24,25],[1.0,1.0,1.0,0.10869565217391304,0.7063499999999999,0.6178853658536586,0.0707070707070707,0.390625,0.19230769230769232,0.08])",60
806,"(26,[1,2,3,18,19,20,21,23,25],[1.0,1.0,1.0,0.10869565217391304,0.4107142857142857,0.4085365853658537,0.28215494949494946,0.171875,0.017142857142857144])",23
807,"(26,[1,2,3,18,20,21,22,23,24],[1.0,1.0,1.0,0.13043478260869565,0.14634146341463417,0.30303030303030304,0.8571823586340385,0.171875,0.09615384615384616])",100
808,"(26,[1,2,4,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.11956521739130435,0.36591428571428575,0.39409512195121954,0.23030303030303031,0.06580948430803263,0.34375,0.09615384615384616,0.021818181818181816])",14
809,"(26,[1,2,4,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.16666666666666666,0.16304347826086957,0.28675,0.34782682926829267,0.26253838383838385,0.009263099682012997,0.0625,0.038461538461538464,0.00631578947368421])",12
810,"(26,[1,2,4,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.375,0.2391304347826087,0.15527857142857143,0.19830243902439024,0.29108484848484845,0.07839070924927416,0.34375,0.09615384615384616,0.0038095238095238095])",7
811,"(26,[1,2,4,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.5,0.32608695652173914,0.1759833333333333,0.18345609756097558,0.2880983838383838,0.10783907092492741,0.34375,0.09615384615384616,0.005454545454545454])",4
812,"(26,[1,2,4,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.10869565217391304,0.45238095238095233,0.32926829268292684,0.1606060606060606,0.008710078805474907,0.4375,0.23076923076923078])",90
813,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.22380952380952382,0.24878048780487805,0.36929292929292934,0.0625,0.038461538461538464])",32
814,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.23809523809523808,0.2682926829268293,0.1292929292929293,0.203125,0.11538461538461539])",69
815,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.26190476190476186,0.43902439024390244,0.12727272727272726,0.515625,0.15384615384615385])",63
816,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.30952380952380953,0.5609756097560976,0.10909090909090909,0.203125,0.11538461538461539])",95
817,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.42857142857142855,0.4634146341463415,0.12727272727272726,0.5,0.07692307692307693])",78
818,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5,0.6341463414634146,0.05454545454545454,0.75,0.057692307692307696])",88
819,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5119047619047619,0.29268292682926833,0.21313131313131314,0.453125,0.2884615384615385])",41
820,"(26,[1,2,4,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5476190476190476,0.5853658536585367,0.00808080808080808,0.53125,0.23076923076923078])",70
821,"(26,[1,2,5,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.6428571428571428,0.7073170731707318,0.0808080808080808,0.09375,0.057692307692307696])",93
822,"(26,[1,2,6,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.38095238095238093,0.6097560975609756,0.1414141414141414,0.375,0.3269230769230769])",71
823,"(26,[1,2,7,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5,0.6829268292682927,0.08282828282828283,0.1875,0.09615384615384616])",74
824,"(26,[1,2,8,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.738095238095238,0.7073170731707318,0.10303030303030303,0.5,0.15384615384615385])",75
825,"(26,[1,2,14,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.5,0.43902439024390244,0.26666666666666666,0.484375,0.15384615384615385])",71
826,"(26,[1,2,15,18,19,20,21,23,24],[1.0,1.0,1.0,0.10869565217391304,0.47619047619047616,0.36585365853658536,0.1292929292929293,0.46875,0.09615384615384616])",56
827,"(26,[1,3,18,19,20,21,22,23,24,25],[1.0,1.0,0.10869565217391304,0.6119047619047618,0.5390243902439025,0.1987878787878788,0.004147656574035669,0.34375,0.23076923076923078,0.05333333333333333])",31
828,"(26,[1,3,18,19,20,21,22,23,24,25],[1.0,1.0,0.10869565217391304,0.657595238095238,0.5679439024390244,0.2226070707070707,0.0023503387252868796,0.5,0.23076923076923078,0.12])",20
829,"(26,[1,3,18,19,20,21,23,24,25],[1.0,1.0,0.10869565217391304,0.660052380952381,0.5785902439024391,0.14029171717171718,0.5,0.23076923076923078,0.11])",25
830,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.16666666666666666,0.17073170731707318,0.33265999999999996,0.013963777132586754,0.125,0.057692307692307696])",40
831,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.11956521739130435,0.023809523809523808,0.07317073170731708,0.5050505050505051,0.5309000414765657,0.484375,0.46153846153846156])",50
832,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.11956521739130435,0.07142857142857142,0.024390243902439025,0.16565656565656567,0.18540024885939443,0.375,0.2884615384615385])",92
833,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.3333333333333333,0.04878048780487805,0.24242424242424243,0.3456380478363058,0.390625,0.34615384615384615])",99
834,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.3761904761904762,0.23170731707317074,0.3107070707070707,0.022535600718927136,0.328125,0.21153846153846156])",92
835,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.23809523809523808,0.08130000000000001,0.38047131313131316,0.024471173786810452,0.109375,0.09615384615384616])",91
836,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.08333333333333333,0.11956521739130435,0.03571428571428571,0.08536585365853659,0.3282828282828283,0.23821374256878197,0.390625,0.2884615384615385])",83
837,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.125,0.21739130434782608,0.08928571428571427,0.1402439024390244,0.3207070707070707,0.15456933499239595,0.390625,0.3076923076923077])",90
838,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.16666666666666666,0.12979598816972818,0.2658738095238095,0.10569024390243904,0.31616161616161614,0.045624222314392365,0.15625,0.15384615384615385])",90
839,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.16666666666666666,0.17391304347826086,0.047619047619047616,0.04878048780487805,0.3055555555555556,0.46619659892160925,0.1875,0.17307692307692307])",88
840,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.16666666666666666,0.17391304347826086,0.05952380952380952,0.04878048780487805,0.4313131313131313,0.2671090833678971,0.234375,0.11538461538461539])",29
841,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.16666666666666666,0.2826086956521739,0.047619047619047616,0.04878048780487805,0.33656565656565657,0.4580395409926725,0.328125,0.23076923076923078])",84
842,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.29166666666666663,0.30434782608695654,0.16137619047619048,0.07317073170731708,0.32413010101010103,0.2948983824139361,0.328125,0.23076923076923078])",89
843,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.3333333333333333,0.43478260869565216,0.06190476190476191,0.058536585365853655,0.3575757575757576,0.5709940550255772,0.3125,0.34615384615384615])",85
844,"(26,[0,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.5833333333333333,0.12979598816972818,0.19119761904761906,0.14042926829268293,0.3411080808080808,0.030554403428729435,0.46875,0.46153846153846156])",2
845,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.014285714285714287,0.4292682926829269,0.4206060606060606,0.11295451403290474,0.125,0.057692307692307696,0.013333333333333332])",33
846,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.2176880952380952,0.3101048780487805,0.3148628282828283,0.03802018526199364,0.25,0.17307692307692307,0.008])",31
847,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.21794761904761906,0.3377121951219512,0.3975135353535354,0.006497995299322549,0.1875,0.07692307692307693,0.0036363636363636364])",25
848,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.22619047619047616,0.4634146341463415,0.20505050505050504,0.0272362781695009,0.328125,0.21153846153846156,0.04])",98
849,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.4357857142857143,0.3798975609756098,0.34190383838383837,0.002212083506152357,0.296875,0.25,0.006153846153846155])",9
850,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.48556904761904757,0.4818926829268293,0.35445353535353535,0.00027651043826904464,0.28125,0.15384615384615385,0.0075])",15
851,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.4935071428571428,0.45159024390243907,0.3412917171717172,0.00027651043826904464,0.203125,0.19230769230769232,0.005714285714285714])",13
852,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.6349214285714285,0.5144121951219512,0.345209696969697,0.0012442969722107008,0.203125,0.11538461538461539,0.01230769230769231])",19
853,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.11956521739130435,0.21428571428571427,0.43902439024390244,0.23939393939393938,0.11668740494953683,0.234375,0.25,0.04])",81
854,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.31601666666666667,0.35550731707317074,0.32727272727272727,0.0020738282870178346,0.1875,0.15384615384615385,0.002962962962962963])",6
855,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.32380952380952377,0.4341463414634147,0.34545454545454546,0.0016590626296142678,0.109375,0.11538461538461539,0.013333333333333332])",100
856,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.3333333333333333,0.36585365853658536,0.33959595959595956,0.01894096502142956,0.140625,0.11538461538461539,0.006666666666666666])",101
857,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.39495714285714284,0.4849365853658537,0.30148545454545456,0.023365132033734273,0.375,0.2692307692307693,0.016])",23
858,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.4220785714285714,0.41020000000000006,0.32806848484848483,0.0005530208765380893,0.28125,0.15384615384615385,0.003333333333333333])",9
859,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.14130434782608695,0.258297619047619,0.31781219512195125,0.34349555555555555,0.0009677865339416564,0.203125,0.21153846153846156,0.002857142857142857])",12
860,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.16304347826086957,0.3389357142857143,0.4203731707317073,0.32858,0.022535600718927136,0.171875,0.09615384615384616,0.014545454545454545])",24
861,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.16304347826086957,0.5735928571428571,0.5136731707317074,0.3294153535353535,0.003041614820959491,0.3125,0.3653846153846154,0.02])",12
862,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.2071428571428571,0.22682926829268296,0.46525252525252525,0.003041614820959491,0.09375,0.038461538461538464,0.0044444444444444444])",25
863,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.2597404761904762,0.3082048780487805,0.34123050505050506,0.0027651043826904466,0.140625,0.11538461538461539,0.004285714285714286])",7
864,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.3528142857142857,0.3651146341463415,0.3351086868686869,0.0012442969722107008,0.1875,0.15384615384615385,0.007692307692307693])",11
865,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.47186190476190476,0.42571951219512194,0.26694222222222225,0.006221484861053505,0.109375,0.09615384615384616,0.008])",22
866,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.11956521739130435,0.29464285714285715,0.3048780487804878,0.3,0.03719065394718651,0.15625,0.15384615384615385,0.013333333333333332])",90
867,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.11956521739130435,0.31096666666666667,0.3318560975609756,0.33872060606060606,0.002212083506152357,0.28125,0.15384615384615385,0.006153846153846155])",11
868,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.16304347826086957,0.3152952380952381,0.41093902439024393,0.306029898989899,0.004424167012304714,0.1875,0.15384615384615385,0.01391304347826087])",8
869,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.17391304347826086,0.24098095238095238,0.3067268292682927,0.32764000000000004,0.04465643578045071,0.125,0.13461538461538464,0.006153846153846155])",9
870,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.18478260869565216,0.2857142857142857,0.3311926829268293,0.31674646464646466,0.050186644545831605,0.203125,0.19230769230769232,0.0075])",80
871,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.18478260869565216,0.4,0.2634146341463415,0.30828282828282827,0.3768837273607079,0.46875,0.40384615384615385,0.01])",86
872,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.11956521739130435,0.2689595238095238,0.2538390243902439,0.35233818181818183,0.013549011475183188,0.203125,0.19230769230769232,0.0016])",100
873,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.12979598816972818,0.11111190476190475,0.24390243902439024,0.3259258585858586,0.04852758191621733,0.1875,0.17307692307692307,0.005])",25
874,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.16304347826086957,0.2882214285714286,0.27214390243902437,0.3527911111111111,0.0012442969722107008,0.25,0.13461538461538464,0.0022222222222222222])",18
875,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.17391304347826086,0.12202380952380952,0.25609756097560976,0.35934343434343435,0.15152772017143648,0.171875,0.11538461538461539,0.005714285714285714])",92
876,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.17391304347826086,0.22222142857142854,0.4105682926829269,0.32760949494949493,0.08668602239734549,0.40625,0.2884615384615385,0.026666666666666665])",31
877,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.21739130434782608,0.38023095238095234,0.3481146341463415,0.34674020202020206,0.06636250518457071,0.203125,0.19230769230769232,0.002962962962962963])",10
878,"(26,[0,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.22826086956521738,0.05102142857142857,0.22299756097560974,0.3085137373737374,0.5238490253007051,0.3125,0.34615384615384615,0.006666666666666666])",87
